[metadata]
title=gr-fec_dev
""
[trace]
# ----------------------------------------------------
"# --GNU Radio FEC Testbench, based on AFF3CT library--"
# ----------------------------------------------------
# Parameters :
# * Simulation -------------------------------------
#    ** Type                   = GNU Radio
#    ** Type of bits           = int8
#    ** Type of reals          = float32
#    ** Type of quant. reals   = int8
#    ** Date (UTC)             = 2024-09-05 12-51-37
#    ** Git commit ID          = 
#    ** Code type (C)          = RA
#    ** Noise range            = 1.0 -> 8.0 dB
#    ** Noise type             = EBN0
#    ** Bit rate               = 0.333333 (1024/3072)
# * Source ----------------------------------------
#    ** Type                   = Random
#    ** Implementation         = Numpy Generator
#    ** Info. bits (K_info)    = 1024
# * Codec -----------------------------------------
#    ** Type                   = RA
#    ** Info. bits (K_info)    = 1024
#    ** Codeword size (N_cw)   = 3072
#    ** Code rate              = 0.333333 (1024/3072)
# GNU Radio simulation is running...
# --------------------------------||----------------------------------------------------------||---------------------
#        Signal Noise Ratio       ||     Bit Error Rate (BER) and Frame Error Rate (FER)      ||  Global throughput
#              (SNR)              ||                                                          ||  and elapsed time
# --------------------------------||----------------------------------------------------------||---------------------
# ----------|----------|----------||------------|----------|----------|-----------|-----------||----------|----------
#     Sigma |    Es/N0 |    Eb/N0 ||        FRA |       BE |       FE |       BER |       FER ||  SIM_THR |    ET/RT
#           |     (dB) |     (dB) ||            |          |          |           |           ||   (Mb/s) | (hhmmss) 
# ----------|----------|----------||------------|----------|----------|-----------|-----------||----------|----------
     0.6068 |    1.329 |    6.100 ||        128 |     4076 |      128 | 3.110e-02 | 1.000e+00 ||    0.206 | 00h00'00
     0.5999 |    1.429 |    6.200 ||        128 |     3637 |      128 | 2.775e-02 | 1.000e+00 ||    0.207 | 00h00'00
     0.5930 |    1.529 |    6.300 ||        128 |     2825 |      126 | 2.155e-02 | 9.844e-01 ||    0.208 | 00h00'00
     0.5862 |    1.629 |    6.400 ||        128 |     2504 |      127 | 1.910e-02 | 9.922e-01 ||    0.207 | 00h00'00
     0.5795 |    1.729 |    6.500 ||        128 |     2190 |      126 | 1.671e-02 | 9.844e-01 ||    0.208 | 00h00'00
     0.5729 |    1.829 |    6.600 ||        128 |     1577 |      127 | 1.203e-02 | 9.922e-01 ||    0.204 | 00h00'00
     0.5663 |    1.929 |    6.700 ||        128 |     1114 |      126 | 8.499e-03 | 9.844e-01 ||    0.206 | 00h00'00
     0.5598 |    2.029 |    6.800 ||        128 |      956 |      124 | 7.294e-03 | 9.688e-01 ||    0.207 | 00h00'00
     0.5534 |    2.129 |    6.900 ||        128 |      612 |      121 | 4.669e-03 | 9.453e-01 ||    0.208 | 00h00'00
     0.5471 |    2.229 |    7.000 ||        128 |      502 |      121 | 3.830e-03 | 9.453e-01 ||    0.208 | 00h00'00
     0.5408 |    2.329 |    7.100 ||        128 |      384 |      108 | 2.930e-03 | 8.438e-01 ||    0.209 | 00h00'00
     0.5346 |    2.429 |    7.200 ||        128 |      305 |      107 | 2.327e-03 | 8.359e-01 ||    0.205 | 00h00'00
     0.5285 |    2.529 |    7.300 ||        128 |      284 |      106 | 2.167e-03 | 8.281e-01 ||    0.205 | 00h00'00
     0.5225 |    2.629 |    7.400 ||        192 |      322 |      130 | 1.638e-03 | 6.771e-01 ||    0.209 | 00h00'00
     0.5165 |    2.729 |    7.500 ||        192 |      259 |      125 | 1.317e-03 | 6.510e-01 ||    0.208 | 00h00'00
     0.5106 |    2.829 |    7.600 ||        192 |      202 |      112 | 1.027e-03 | 5.833e-01 ||    0.207 | 00h00'00
     0.5047 |    2.929 |    7.700 ||        256 |      207 |      119 | 7.896e-04 | 4.648e-01 ||    0.208 | 00h00'01
     0.4989 |    3.029 |    7.800 ||        256 |      171 |      112 | 6.523e-04 | 4.375e-01 ||    0.208 | 00h00'01
     0.4932 |    3.129 |    7.900 ||        256 |      161 |      121 | 6.142e-04 | 4.727e-01 ||    0.208 | 00h00'01
     0.4876 |    3.229 |    8.000 ||        320 |      143 |      104 | 4.364e-04 | 3.250e-01 ||    0.207 | 00h00'01
# End of the GNU Radio FEC testbench simulation (based on AFF3CT).
